simulation_id	longitude	latitude	inclination	distance	mass1	mass2	spin1z	spin2z
135	4.031471	0.34390534	2.1021455	348.52087	1.5026232	1.4850415	-0.00093329315	0.04766121
136	3.1511528	0.73537123	1.1108201	332.47517	1.4825807	1.4481312	-0.018739019	0.044651528
137	5.5954605	1.3321121	0.60940499	339.19881	1.4584674	1.3170243	-0.001267055	-0.018350216
138	4.9835796	-0.93989845	1.4896516	305.56072	1.4004868	1.402944	-0.015429258	0.027627778
139	5.7147301	-0.044020889	2.4526001	534.35597	1.5205306	1.4935213	-0.041040278	-0.038234939
140	1.2575132	0.19767047	0.93761341	254.57969	1.3803739	1.3307335	0.0072140231	0.0021459322
141	4.3114984	-0.62837488	2.6095669	185.10038	1.4149924	1.4799506	0.00013507021	-0.0040295717
142	3.4314621	-0.51295783	2.2632882	243.59036	1.3715621	1.3039001	-0.030399967	-0.040524479
143	3.8694162	-0.84721878	0.74513939	313.27364	1.318069	1.457039	0.003133156	0.023876571
144	1.3110338	-0.68109908	0.70043087	462.16919	1.4139924	1.4542592	0.034490914	-0.0053704617
145	0.83811952	0.60308843	0.028362409	411.75023	1.5274231	1.2959969	-0.027643454	0.034825216
146	1.1488825	0.64815062	2.4018749	291.89995	1.3232612	1.2972194	0.022867617	-0.028495908
147	3.1038789	0.51002878	2.576237	238.24033	1.5112205	1.2935087	-0.040161976	0.012347915
